Gene,Regulation,Timepoint
DCUN1D1,Up,1h
DCUN1D2,Up,1h
DCUN1D3,Up,1h
DCUN1D5,Up,1h
DDA1,Up,1h
DDAH2,Up,1h
DDB1,Up,1h
DDOST,Up,1h
DDR1,Up,1h
DDRGK1,Up,1h
DDT,Up,1h
DDTL,Up,1h
DDX1,Up,1h
DDX10,Up,1h
DDX11,Up,1h
DDX19A,Up,1h
DDX19B,Up,1h
DDX21,Up,1h
DDX23,Up,1h
DDX24,Up,1h
DDX27,Up,1h
DDX28,Up,1h
DDX39A,Up,1h
DDX39B,Up,1h
DDX3X,Up,1h
DDX3Y,Up,1h
DDX41,Up,1h
DDX46,Up,1h
DDX49,Up,1h
DDX5,Up,1h
DDX50,Up,1h
DDX51,Up,1h
DDX54,Up,1h
DDX59,Up,1h
DDX6,Up,1h
DEAF1,Up,1h
DEDD,Up,1h
DEDD2,Up,1h
DEF6,Up,1h
DEF8,Up,1h
DENND1A,Up,1h
DENND4B,Up,1h
DEPDC5,Up,1h
DERL1,Up,1h
DERL2,Up,1h
DEXI,Up,1h
DFFA,Up,1h
DFNB31,Up,1h
DGAT1,Up,1h
DGCR2,Up,1h
DGCR8,Up,1h
DGKD,Up,1h
DGKQ,Up,1h
DGKZ,Up,1h
DGUOK,Up,1h
DHCR24,Up,1h
DHCR7,Up,1h
DHRS4,Up,1h
DHTKD1,Up,1h
DHX15,Up,1h
DHX16,Up,1h
DHX30,Up,1h
DHX33,Up,1h
DHX34,Up,1h
DHX36,Up,1h
DHX37,Up,1h
DHX38,Up,1h
DHX8,Up,1h
DIABLO,Up,1h
DIAPH1,Up,1h
DIAPH3,Up,1h
DIDO1,Up,1h
DIMT1,Up,1h
DIP2A,Up,1h
DIRAS1,Up,1h
DIS3L2,Up,1h
DLD,Up,1h
DLG3,Up,1h
DLG4,Up,1h
DLG5,Up,1h
DLGAP4,Up,1h
DLST,Up,1h
DLX3,Up,1h
DMAP1,Up,1h
DMBT1P1,Up,1h
DMRTA2,Up,1h
DMWD,Up,1h
DNAJA1,Up,1h
DNAJA2,Up,1h
DNAJA3,Up,1h
DNAJA4,Up,1h
